Model,Hidden Dim,Num Layers,Bidirectional,LR,Dropout,Window Size,ExactMatch,Macro F1,Micro F1,Status,GPU,Duration
LSTM-Small-LR1e3-W100,64,1,True,0.001,0.3,100,8.324852432322414,5.6075592587766785,40.398687862730256,Success,0,82.21s
LSTM-Small-LR1e3-W200,64,1,True,0.001,0.3,200,8.650519031141874,5.297652146820771,39.74158679221382,Success,1,84.37s
LSTM-Small-LR1e3-W500,64,1,True,0.001,0.3,500,8.508039894158376,4.742688509006124,37.03321730909716,Success,0,98.80s
LSTM-Small-LR5e4-W100,64,1,True,0.0005,0.3,100,7.693873397109723,5.046622489518847,39.05405405405405,Success,1,79.26s
LSTM-Small-LR5e4-W200,64,1,True,0.0005,0.3,200,7.307144311011611,4.832668319576827,38.84367582231265,Success,0,85.99s
LSTM-Small-LR5e4-W500,64,1,True,0.0005,0.3,500,8.182373295338932,4.397154584091624,36.07982955780686,Success,1,102.34s
LSTM-Small-LR1e4-W100,64,1,True,0.0001,0.3,100,7.164665174028091,4.246349835967773,38.615861047529286,Success,0,81.19s
LSTM-Small-LR1e4-W200,64,1,True,0.0001,0.3,200,7.347852635864033,3.955148987580934,37.6167065085021,Success,1,86.81s
LSTM-Small-LR1e4-W500,64,1,True,0.0001,0.3,500,8.69122735599432,3.632236052743746,36.18512030976307,Success,0,99.85s
LSTM-Medium-LR1e3-W100,128,2,True,0.001,0.3,100,12.314268267860829,9.656806836996022,45.90866037968949,Success,1,100.45s
LSTM-Medium-LR1e3-W200,128,2,True,0.001,0.3,200,11.88683085691023,8.9516555845309,44.688275108252405,Success,0,105.97s
LSTM-Medium-LR1e3-W500,128,2,True,0.001,0.3,500,11.744351719926696,6.6154371620142856,41.4875173370319,Success,1,491.00s
LSTM-Medium-LR5e4-W100,128,2,True,0.0005,0.3,100,10.421331162222678,6.859761895629926,42.66500622665006,Success,0,92.05s
LSTM-Medium-LR5e4-W200,128,2,True,0.0005,0.3,200,9.64787299002645,6.027026181581874,41.395817586293774,Success,1,335.80s
LSTM-Medium-LR5e4-W500,128,2,True,0.0005,0.3,500,9.769997964583743,5.221242426304734,38.48761408083442,Success,0,287.11s
LSTM-Medium-LR1e4-W100,128,2,True,0.0001,0.3,100,8.019539995929156,5.299637020895005,38.69910500441195,Success,1,99.97s
LSTM-Medium-LR1e4-W200,128,2,True,0.0001,0.3,200,7.938123346224314,5.032690737519963,38.12867475995093,Success,0,201.85s
LSTM-Medium-LR1e4-W500,128,2,True,0.0001,0.3,500,8.202727457765098,4.253296431467457,35.816468946266575,Success,1,494.02s
LSTM-Medium-LR5e5-W100,128,2,True,5e-05,0.3,100,7.1036026867494595,4.637419671441821,37.85549409868908,Success,0,91.56s
LSTM-Medium-LR5e5-W200,128,2,True,5e-05,0.3,200,7.775290046814565,4.5553334940414,37.10570248660048,Success,1,339.04s
LSTM-Medium-LR5e5-W500,128,2,True,5e-05,0.3,500,9.179727254223458,4.119510451194251,35.857352222765016,Success,0,241.63s
LSTM-Large-LR1e3-W100,256,2,True,0.001,0.3,100,15.326684306940816,17.875676021861782,50.05358173275081,Success,1,98.38s
